"Asset","Model","Dist","AIC","BIC"
"r_BGRN","sGARCH","norm",0.0638,0.07418
"r_BGRN","sGARCH","std",-0.12603,-0.11305
"r_BGRN","sGARCH","sstd",-0.12623,-0.11066
"r_BGRN","eGARCH","norm",0.06411,0.07708
"r_BGRN","eGARCH","std",-0.15192,-0.13635
"r_BGRN","eGARCH","sstd",-0.15552,-0.13736
"r_BGRN","gjrGARCH","norm",0.06018,0.07315
"r_BGRN","gjrGARCH","std",-0.13005,-0.11448
"r_BGRN","gjrGARCH","sstd",-0.13008,-0.11191
"r_LQD","sGARCH","norm",1.09058,1.10096
"r_LQD","sGARCH","std",0.90511,0.91809
"r_LQD","sGARCH","sstd",0.9055,0.92107
"r_LQD","eGARCH","norm",1.08808,1.10106
"r_LQD","eGARCH","std",0.88456,0.90013
"r_LQD","eGARCH","sstd",0.8842,0.90236
"r_LQD","gjrGARCH","norm",1.07876,1.09174
"r_LQD","gjrGARCH","std",0.89638,0.91195
"r_LQD","gjrGARCH","sstd",0.89703,0.9152
"r_diff_BGRN_LQD","sGARCH","norm",0.03077,0.04115
"r_diff_BGRN_LQD","sGARCH","std",-0.16588,-0.1529
"r_diff_BGRN_LQD","sGARCH","sstd",-0.16511,-0.14954
"r_diff_BGRN_LQD","eGARCH","norm",0.04536,0.05834
"r_diff_BGRN_LQD","eGARCH","std",-0.17818,-0.16261
"r_diff_BGRN_LQD","eGARCH","sstd",-0.17725,-0.15908
"r_diff_BGRN_LQD","gjrGARCH","norm",0.02179,0.03476
"r_diff_BGRN_LQD","gjrGARCH","std",-0.17679,-0.16122
"r_diff_BGRN_LQD","gjrGARCH","sstd",-0.17589,-0.15773
