caused,causing,F_stat,p_value,significant_5pct,system
r_diff_green_corp,r_global_green,2.263,0.0267,True,System3_Differential
r_diff_green_corp,r_climate_transition,1.673,0.1105,False,System3_Differential
r_diff_green_corp,EPU_z,2.508,0.0142,True,System3_Differential
r_diff_green_corp,CPU_z,0.513,0.8253,False,System3_Differential
r_diff_green_corp,VIX_z,1.402,0.1996,False,System3_Differential
r_diff_green_corp,delta_IG_OAS,0.686,0.6844,False,System3_Differential
r_diff_green_corp,delta_10y,2.963,0.0042,True,System3_Differential
r_global_green,r_diff_green_corp,2.168,0.0339,True,System3_Differential
r_global_green,r_climate_transition,0.989,0.4373,False,System3_Differential
r_global_green,EPU_z,2.596,0.0113,True,System3_Differential
r_global_green,CPU_z,0.245,0.974,False,System3_Differential
r_global_green,VIX_z,1.742,0.0944,False,System3_Differential
r_global_green,delta_IG_OAS,1.371,0.2125,False,System3_Differential
r_global_green,delta_10y,0.691,0.6797,False,System3_Differential
r_climate_transition,r_diff_green_corp,1.541,0.1484,False,System3_Differential
r_climate_transition,r_global_green,2.78,0.0069,True,System3_Differential
r_climate_transition,EPU_z,2.625,0.0104,True,System3_Differential
r_climate_transition,CPU_z,1.284,0.2536,False,System3_Differential
r_climate_transition,VIX_z,0.434,0.8818,False,System3_Differential
r_climate_transition,delta_IG_OAS,0.544,0.8012,False,System3_Differential
r_climate_transition,delta_10y,1.788,0.085,False,System3_Differential
EPU_z,r_diff_green_corp,1.893,0.0663,False,System3_Differential
EPU_z,r_global_green,1.084,0.3701,False,System3_Differential
EPU_z,r_climate_transition,1.823,0.0782,False,System3_Differential
EPU_z,CPU_z,1.919,0.0624,False,System3_Differential
EPU_z,VIX_z,14.324,0.0,True,System3_Differential
EPU_z,delta_IG_OAS,3.137,0.0026,True,System3_Differential
EPU_z,delta_10y,1.351,0.2215,False,System3_Differential
CPU_z,r_diff_green_corp,0.996,0.432,False,System3_Differential
CPU_z,r_global_green,0.383,0.9128,False,System3_Differential
CPU_z,r_climate_transition,1.213,0.2915,False,System3_Differential
CPU_z,EPU_z,0.581,0.7718,False,System3_Differential
CPU_z,VIX_z,2.168,0.0339,True,System3_Differential
CPU_z,delta_IG_OAS,0.394,0.9067,False,System3_Differential
CPU_z,delta_10y,1.065,0.3829,False,System3_Differential
VIX_z,r_diff_green_corp,1.006,0.4248,False,System3_Differential
VIX_z,r_global_green,0.82,0.5708,False,System3_Differential
VIX_z,r_climate_transition,1.073,0.3778,False,System3_Differential
VIX_z,EPU_z,1.1,0.3596,False,System3_Differential
VIX_z,CPU_z,1.603,0.1293,False,System3_Differential
VIX_z,delta_IG_OAS,1.97,0.0551,False,System3_Differential
VIX_z,delta_10y,1.887,0.0673,False,System3_Differential
delta_IG_OAS,r_diff_green_corp,7.968,0.0,True,System3_Differential
delta_IG_OAS,r_global_green,1.921,0.062,False,System3_Differential
delta_IG_OAS,r_climate_transition,3.412,0.0012,True,System3_Differential
delta_IG_OAS,EPU_z,9.675,0.0,True,System3_Differential
delta_IG_OAS,CPU_z,0.434,0.8813,False,System3_Differential
delta_IG_OAS,VIX_z,3.84,0.0004,True,System3_Differential
delta_IG_OAS,delta_10y,6.63,0.0,True,System3_Differential
delta_10y,r_diff_green_corp,2.108,0.0394,True,System3_Differential
delta_10y,r_global_green,1.677,0.1096,False,System3_Differential
delta_10y,r_climate_transition,1.681,0.1086,False,System3_Differential
delta_10y,EPU_z,1.396,0.202,False,System3_Differential
delta_10y,CPU_z,0.978,0.4455,False,System3_Differential
delta_10y,VIX_z,0.3,0.9539,False,System3_Differential
delta_10y,delta_IG_OAS,1.439,0.1844,False,System3_Differential
r_diff_hedged,r_SPGBI,6.445,0.0,True,System4_HedgedDiff
r_diff_hedged,delta_IG_OAS,29.177,0.0,True,System4_HedgedDiff
r_diff_hedged,VIX_z,10.549,0.0,True,System4_HedgedDiff
r_diff_hedged,CPU_z,1.127,0.3411,False,System4_HedgedDiff
r_diff_hedged,EPU_z,2.238,0.022,True,System4_HedgedDiff
r_SPGBI,r_diff_hedged,9.209,0.0,True,System4_HedgedDiff
r_SPGBI,delta_IG_OAS,1.536,0.139,False,System4_HedgedDiff
r_SPGBI,VIX_z,4.715,0.0,True,System4_HedgedDiff
r_SPGBI,CPU_z,0.342,0.95,False,System4_HedgedDiff
r_SPGBI,EPU_z,1.637,0.1086,False,System4_HedgedDiff
delta_IG_OAS,r_diff_hedged,48.28,0.0,True,System4_HedgedDiff
delta_IG_OAS,r_SPGBI,4.268,0.0,True,System4_HedgedDiff
delta_IG_OAS,VIX_z,23.042,0.0,True,System4_HedgedDiff
delta_IG_OAS,CPU_z,0.348,0.9473,False,System4_HedgedDiff
delta_IG_OAS,EPU_z,6.879,0.0,True,System4_HedgedDiff
VIX_z,r_diff_hedged,10.099,0.0,True,System4_HedgedDiff
VIX_z,r_SPGBI,4.337,0.0,True,System4_HedgedDiff
VIX_z,delta_IG_OAS,11.904,0.0,True,System4_HedgedDiff
VIX_z,CPU_z,0.987,0.4435,False,System4_HedgedDiff
VIX_z,EPU_z,3.441,0.0006,True,System4_HedgedDiff
CPU_z,r_diff_hedged,0.734,0.6617,False,System4_HedgedDiff
CPU_z,r_SPGBI,0.996,0.4365,False,System4_HedgedDiff
CPU_z,delta_IG_OAS,0.306,0.9642,False,System4_HedgedDiff
CPU_z,VIX_z,0.701,0.6907,False,System4_HedgedDiff
CPU_z,EPU_z,1.421,0.1819,False,System4_HedgedDiff
EPU_z,r_diff_hedged,1.502,0.1505,False,System4_HedgedDiff
EPU_z,r_SPGBI,0.402,0.9202,False,System4_HedgedDiff
EPU_z,delta_IG_OAS,3.951,0.0001,True,System4_HedgedDiff
EPU_z,VIX_z,5.984,0.0,True,System4_HedgedDiff
EPU_z,CPU_z,1.602,0.1185,False,System4_HedgedDiff
