Spec,Variable,Coef,SE_robust,t_stat,p_value
Base,const,-0.007434,0.004017,-1.851,0.0642
Base,delta_10y,2.817196,0.116877,24.104,0.0
Base,VIX_z,0.013753,0.006777,2.029,0.0424
Base,r_KRBN,-0.019544,0.003928,-4.975,0.0
Base,N,1614.0,,,
Base,R2_adj,0.3949,,,
PostIRA_Interaction,const,-0.013955,0.008272,-1.687,0.0916
PostIRA_Interaction,delta_10y,2.831796,0.117788,24.041,0.0
PostIRA_Interaction,VIX_z,0.01727,0.007956,2.171,0.03
PostIRA_Interaction,r_KRBN,-0.023474,0.005186,-4.527,0.0
PostIRA_Interaction,PostIRA,0.010697,0.01109,0.965,0.3347
PostIRA_Interaction,KRBN_x_PostIRA,0.011558,0.007565,1.528,0.1266
PostIRA_Interaction,N,1614.0,,,
PostIRA_Interaction,R2_adj,0.3959,,,
HighVIX_Interaction,const,-0.007996,0.004749,-1.684,0.0922
HighVIX_Interaction,delta_10y,2.830881,0.117118,24.171,0.0
HighVIX_Interaction,VIX_z,0.012961,0.009899,1.309,0.1904
HighVIX_Interaction,r_KRBN,-0.013986,0.004191,-3.337,0.0008
HighVIX_Interaction,HighVIX,0.000597,0.019697,0.03,0.9758
HighVIX_Interaction,KRBN_x_HighVIX,-0.012992,0.008056,-1.613,0.1068
HighVIX_Interaction,N,1614.0,,,
HighVIX_Interaction,R2_adj,0.396,,,
RateHike_Interaction,const,-0.004608,0.004664,-0.988,0.3232
RateHike_Interaction,delta_10y,2.818193,0.116981,24.091,0.0
RateHike_Interaction,VIX_z,0.015038,0.006877,2.187,0.0288
RateHike_Interaction,r_KRBN,-0.013099,0.004251,-3.081,0.0021
RateHike_Interaction,RateHike,-0.010843,0.011135,-0.974,0.3302
RateHike_Interaction,KRBN_x_RateHike,-0.01558,0.007947,-1.96,0.0499
RateHike_Interaction,N,1614.0,,,
RateHike_Interaction,R2_adj,0.3973,,,
Full_Interactions,const,-0.014217,0.00837,-1.699,0.0894
Full_Interactions,delta_10y,2.839657,0.118293,24.005,0.0
Full_Interactions,VIX_z,0.025245,0.011817,2.136,0.0326
Full_Interactions,r_KRBN,-0.016255,0.005231,-3.108,0.0019
Full_Interactions,PostIRA,0.01991,0.012269,1.623,0.1046
Full_Interactions,KRBN_x_PostIRA,0.014897,0.007584,1.964,0.0495
Full_Interactions,HighVIX,-0.005122,0.019801,-0.259,0.7959
Full_Interactions,KRBN_x_HighVIX,-0.002302,0.009276,-0.248,0.804
Full_Interactions,RateHike,-0.019091,0.012157,-1.57,0.1163
Full_Interactions,KRBN_x_RateHike,-0.017662,0.009534,-1.852,0.064
Full_Interactions,N,1614.0,,,
Full_Interactions,R2_adj,0.3995,,,
